id,name,lat,lon,all_sz
0103510,Wilcox County,32.008,-87.396,145.0
0103540,Winfield City,33.894,-87.841,101.0
0103580,Winston County,34.148,-87.361,202.0
0200001,Lower Kuskokwim School District,60.068,-161.112,312.0
0200003,Lower Yukon School District,62.165,-162.236,155.0
0200004,Yupiit School District,60.899,-161.407,35.0
0200005,Kashunamiut School District,61.528,-165.597,22.0
0200007,Aleutians East Borough School District,56.09,-160.119,17.0
0200010,Aleutian Region School District,53.844,-166.877,3.0
0200020,Bering Strait School District,65.403,-165.037,124.0
0200030,Bristol Bay Borough School District,58.751,-156.461,12.0
0200050,Alaska Gateway School District,63.707,-142.295,27.0
0200060,Cordova City School District,60.554,-145.627,26.0
0200070,Copper River School District,62.195,-145.443,37.0
0200090,Craig City School District,55.507,-133.084,52.0
0200100,Delta-Greely School District,63.844,-145.255,63.0
0200120,Dillingham City School District,59.049,-158.553,35.0
0200130,Galena City School District,64.741,-156.866,8.0
0200150,Ketchikan Gateway Borough School District,55.658,-130.555,158.0
0200180,Anchorage School District,61.121,-148.881,3614.0
0200210,Juneau Borough School District,58.66,-134.495,355.0
0200240,Sitka School District,56.971,-134.958,99.0
0200270,Haines Borough School District,59.392,-136.109,22.0
0200300,Hoonah City School District,58.106,-135.42,9.0
0200330,Hydaburg City School District,,,5.0
0200360,Kake City School District,56.983,-133.903,7.0
0200390,Kenai Peninsula Borough School District,60.277,-150.571,665.0
0200450,Klawock City School District,55.556,-133.073,10.0
0200480,Kodiak Island Borough School District,57.362,-154.272,181.0
0200485,Lake And Peninsula Borough School District,60.046,-155.088,23.0
0200510,Matanuska-Susitna Borough School District,62.382,-147.933,1275.0
0200520,Iditarod Area School District,62.485,-154.535,15.0
0200525,Annette Island School District,55.097,-131.444,21.0
0200540,Nenana City School District,64.539,-149.077,9.0
0200570,Nome Public Schools,64.523,-165.397,53.0
0200600,Fairbanks North Star Borough School District,64.815,-146.513,1060.0
0200610,North Slope Borough School District,69.642,-156.909,123.0
0200625,Northwest Arctic Borough School District,67.143,-159.295,142.0
0200660,Petersburg Borough School District,56.751,-132.896,35.0
0200670,Pribilof School District,,,7.0
0200680,Saint Mary's School District,62.066,-163.213,14.0
0200690,Skagway School District,59.602,-135.411,5.0
0200700,Southeast Island School District,55.725,-132.724,12.0
0200710,Southwest Region School District,59.909,-157.878,48.0
0200715,Tanana City School District,65.173,-152.005,3.0
0200720,Unalaska City School District,53.936,-166.731,30.0
0200730,Chatham School District,58.616,-136.786,11.0
0200760,Kuspuk School District,61.513,-157.854,25.0
0200770,Denali Borough School District,63.737,-150.578,44.0
0200775,Yukon Flats School District,66.748,-143.301,21.0
0200780,Valdez City School District,61.088,-146.179,49.0
0200800,Chugach School District,60.612,-144.068,18.0
0200810,Wrangell Public School District,56.64,-132.08,22.0
0200840,Yakutat School District,59.513,-138.791,8.0
0200862,Yukon-Koyukuk School District,66.546,-152.708,94.0
0400001,Cave Creek Unified District,33.813,-111.875,490.0
0400003,Chino Valley Unified District,34.84,-112.415,210.0
0400004,Clarkdale-Jerome Elementary District,34.749,-112.142,49.0
0400005,Salome Consolidated Elementary District,33.594,-113.802,11.0
0400021,Colorado City Unified District,36.824,-113.139,81.0
0400022,Vernon Elementary District,34.213,-109.691,12.0
0400023,Pinon Unified District,36.13,-110.169,103.0
0400026,Heber-Overgaard Unified District,34.467,-110.578,38.0
0400212,Benson Unified School District,32.12,-110.247,92.0
0400295,Kingman Unified School District,35.698,-114.148,645.0
0400434,Santa Cruz County Regional School District,,,5.0
0400463,Arizona State School For The Deaf And Blind,,,33.0
0400480,Aguila Elementary District,33.777,-113.238,16.0
0400520,Ajo Unified District,32.418,-112.821,33.0
0400600,Alhambra Elementary District,33.505,-112.126,1636.0
0400630,Alpine Elementary District,33.843,-109.147,7.0
0400680,Amphitheater Unified District,32.447,-110.964,1267.0
0400790,Apache Junction Unified District,33.379,-111.43,419.0
0400801,Skyline Gila River Schools  LLC,,,30.0
0400803,Cafa  Inc. Dba Learning Foundation And Performing Arts Gilbe,,,35.0
0400806,Daisy Education Corporation Dba Sonoran Science Academy - Ah,,,13.0
0400840,Arlington Elementary District,33.362,-113.177,30.0
0400870,Ash Creek Elementary District,31.874,-109.508,3.0
0400885,Incito Schools,,,20.0
0400892,Legacy Traditional Charter Schools - Casa Grande,,,90.0
0400902,The Farm At Mission Montessori Academy,,,14.0
0400904,Edkey  Inc. - Sequoia Pathway Academy,,,84.0
0400910,Ash Fork Joint Unified District,35.168,-112.639,19.0
0400960,Avondale Elementary District,33.428,-112.388,788.0
0401000,Bagdad Unified District,34.566,-113.174,30.0
0401050,Balsz Elementary District,33.461,-111.977,310.0
0401080,Beaver Creek Elementary District,34.692,-111.634,37.0
0401180,Bisbee Unified District,31.447,-109.838,55.0
0401260,Bonita Elementary District,32.565,-110.279,11.0
0401290,Bouse Elementary District,33.95,-114.1,4.0
0401330,Bowie Unified District,32.318,-109.439,6.0
0401380,Buckeye Elementary District,33.203,-112.598,557.0
0401460,Sierra Vista Unified District,31.599,-110.147,484.0
0401500,Bullhead City School District,35.49,-114.565,403.0
0401600,Camp Verde Unified District,34.486,-111.734,132.0
0401650,Canon Elementary District,34.138,-112.151,18.0
0401680,Cartwright Elementary District,33.488,-112.202,2268.0
0401710,Casa Grande Elementary District,32.908,-111.841,876.0
0401760,Catalina Foothills Unified District,32.316,-110.845,373.0
0401810,Cedar Unified District,35.766,-110.522,21.0
0401870,Chandler Unified District #80,33.259,-111.84,3421.0
0401940,Chinle Unified District,36.151,-109.393,289.0
0402110,Clifton Unified District,33.092,-109.202,6.0
0402130,Cochise Elementary District,32.097,-109.895,10.0
0402190,Concho Elementary District,34.432,-109.664,18.0
0402220,Congress Elementary District,34.206,-113.127,12.0
0402250,Continental Elementary District,31.821,-110.936,57.0
0402320,Coolidge Unified District,33.004,-111.592,632.0
0402370,Cottonwood-Oak Creek Elementary District,34.89,-111.971,291.0
0402400,Crane Elementary District,32.679,-114.688,714.0
0402430,Creighton Elementary District,33.476,-112.016,748.0
0402490,Double Adobe Elementary District,31.474,-109.683,7.0
0402530,Douglas Unified District,31.448,-109.388,391.0
0402600,Duncan Unified District,32.851,-109.172,29.0
0402690,Dysart Unified District,33.622,-112.443,2342.0
0402740,Mary C O'Brien Accommodation District,,,16.0
0402760,Elfrida Elementary District,31.73,-109.621,14.0
0402790,Eloy Elementary District,32.61,-111.614,113.0
0402860,Flagstaff Unified District,35.094,-111.275,923.0
0402920,Florence Unified School District,32.861,-111.117,675.0
0403010,Flowing Wells Unified District,32.32,-111.046,466.0
0403040,Fountain Hills Unified District,33.61,-111.734,153.0
0403060,Fowler Elementary District,33.443,-112.215,510.0
0403080,Fredonia-Moccasin Unified District,36.631,-112.204,28.0
0403150,Fort Huachuca Accommodation District,31.555,-110.37,105.0
0403200,Fort Thomas Unified District,33.202,-110.17,40.0
0403240,Gadsden Elementary District,32.526,-114.77,638.0
